comment,comment_type
In what year was Father Edward Sorin given two years to create a college?,0
Which individual offered land to Father Edward Sorin?,0
Which church was Father Edward Sorin representing?,0
On what date did brothers from Holy Cross arrive at the future location of Notre Dame?,0
Which structure was the first used for the purposes of the college?,0
In what year did the initial degrees get handed out at Notre Dame?,0
In what year did the original Sorin built Main Building get replaced?,0
Which individual began a library at Notre Dame?,0
"In what year had the library at Notre Dame reach 10,000 books?",0
In what year was the library at Notre Dame started?,0
When did Beyonce start becoming popular?,0
What areas did Beyonce compete in when she was growing up?,0
When did Beyonce leave Destiny's Child and become a solo singer?,0
In what city and state did Beyonce  grow up? ,0
In which decade did Beyonce become famous?,0
In what R&B group was she the lead singer?,0
What album made her a worldwide known artist?,0
Who managed the Destiny's Child group?,0
When did Beyoncé rise to fame?,0
What role did Beyoncé have in Destiny's Child?,0
What was the first album Beyoncé released as a solo artist?,0
When did Beyoncé release Dangerously in Love?,0
How many Grammy awards did Beyoncé win for her first solo album?,0
What was Beyoncé's role in Destiny's Child?,0
What was the name of Beyoncé's first solo album?,0
"After her second solo album, what other entertainment venture did Beyonce explore?",0
Which artist did Beyonce marry?,0
"To set the record for Grammys, how many did Beyonce win?",0
For what movie did Beyonce receive  her first Golden Globe nomination?,0
When did Beyonce take a hiatus in her career and take control of her management?,0
Which album was darker in tone from her previous work?,0
"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",0
When did Destiny's Child end their group act?,0
What was the name of Beyoncé's second solo album?,0
"What was Beyoncé's first acting job, in 2006?",0
Who is Beyoncé married to?,0
What is the name of Beyoncé's alter-ego?,0
"In her music, what are some recurring elements in them?",0
Time magazine named her one of the most 100 what people of the century?,0
Which magazine declared her the most dominant woman musician?,0
In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,0
What magazine rated Beyonce as the most powerful female musician in 2015?,0
How did Beyonce describe herself as a feminist?,0
In which years did Time rate Beyonce in the 100 most influential people in the world?,0
How many records has Beyonce sold in her 19 year career?,0
How many records did Beyoncé sell as part of Destiny's Child?,0
"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",0
How many Grammy awards has Beyoncé won?,0
What magazine named Beyoncé as the most powerful female musician for 2015?,0
Beyonce's younger sibling also sang with her in what band?,0
Where did Beyonce get her name from?,0
What race was Beyonce's father?,0
Beyonce's childhood home believed in what religion?,0
Beyonce's father worked as a sales manager for what company?,0
Beyonce's mother worked in what industry?,0
What younger sister of Beyonce also appeared in Destiny's Child?,0
Beyonce is a descendent of what Arcadian leader?,0
What company did Beyoncé's father work for when she was a child?,0
What did Beyoncé's mother own when Beyoncé was a child?,0
What is the name of Beyoncé's younger sister?,0
Beyoncé is a descendant of which Acadian leader?,0
Beyoncé was raised in what religion?,0
What town did Beyonce go to school in?,0
Who was the first person to notice Beyonce's singing ability?,0
Beyonce moved to which town after she left her first elementary school?,0
Which of her teachers discovered Beyonce's musical talent?,0
I which church was Beyonce  a member and soloist  in the choir?,0
What type of school was Parker Elementary School?,0
Which song did Beyonce sing to win a competition at age 7?,0
What city was Beyoncé's elementary school located in?,0
What was the name of Beyoncé's first dance instructor?,0
How old was Beyoncé when she won a school talent show?,0
What choir did Beyoncé sing in for two years?,0
Who decided to place Beyonce's group in Star Search the talent show?,0
"In 1995, who decided to manage the girls singing group?",0
Who was the first record label to give the girls a record deal?,0
Who brought Beyonce to California and enter her group in Star Search?,0
In what year did Beyonce's father quit his job to manage her group?,0
What large record company recorded Beyonce's group's first album?,0
What record company first signed Beyonce's group and later cut them?,0
At what age did Beyonce meet LaTavia Robertson?,0
How old was Beyoncé when she met LaTavia Roberson?,0
What was the name of the first group Beyoncé was a part of?,0
Who placed Girl's Tyme in Star Search?,0
When did Beyoncé begin to manage the girl group?,0
"Who signed the girl group on October 5, 1995?",0
Which film featured Destiny's Child's first major single?,0
"For which song, did Destiny's Child take home the grammy award for best R&B performance?",0
"Who did Beyonce record with for the movie ""The Best Man?""",0
Beyonce's group changed their name to Destiny's Child in what year?,0
The name Destiny's Child was based on a quote in which book of the Bible?,0
"Debut song, ""Killing Time"" was featured on what movie's sound track?",0
What song won Best R&B Performance in the 43 Annual Grammy Awards?,0
"What singer did Beyonce record a song with for the movie, ''The Best Man""?",0
Where did Destiny's Child get their name from?,0
"Destiny's Child song, Killing Time, was included in which film's soundtrack?",0
What was Destiny's Child's first major song hit?,0
When did Destiny's Child release their second album?,0
"Who did Beyoncé sing a duet with for ""The Best Man"" film?",0
What mental health issue did Beyonce go through?,0
What event occured after she was publicly criticized?,0
Who supported Beyonce through her depression?,0
What event caused Beyonce's depression?,0
How long was Beyonce depressed?,0
Who helped Beyonce fight her depression the most?,0
Who replaced Luckett and Roberson in Destiny's Child?,0
Who was blamed for Luckett and Roberson leaving Destiny's Child?,0
Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,0
Which newest member was removed from Destiny's Child?,0
"""Charlie's Angels"" featured which single from the band members?",0
"How many weeks did their single ""Independent Women Part I"" stay on top?",0
"For what network, did Beyonce land a major movie role in?",0
"Their third album, Survivor, sold how many during its first week?",0
What French composer wrote the original opera ''Carmen'' in the 19th century?,0
What album caused a lawsuit to be filed in 2001?,0
Independent Women Part I was on which 2000 film's soundtrack?,0
Which film did Beyoncé star in 2001 with Mekhi Phifer?,0
What was the name of Destiny Child's third album?,0
Who filed a lawsuit over Survivor?,0
When did Destiny's Child announce their hiatus?,0
"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",0
"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?",0
Beyonce starred with Cuba Gooding Jr. in which film?,0
"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",0
Which other song from the soundtrack did better in the charts?,0
What film did Beyonce appear in with Mike Myers?,0
"What large amount did the movie ""Goldmember"" gross?",0
"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",0
What song was the lead single from the film's sound track?,0
"How did the critics view the movie, ''The Fighting Temptations''?",0
What film did Beyoncé star in with Mike Myers in 2002?,0
What was Beyoncé's character called in Austin Powers in Goldmember?,0
Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,0
"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",0
What song did Beyoncé release as the lead single from The Fighting Tempations?,0
What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,0
Beyonce's first album by herself was called what?,0
"How many has ""Dangerously in Love"" sould worldwide since its debut?",0
Beyonce's first number one song was which song?,0
How many top five singles came from her first album?,0
Beyonce's first solo album in the U.S. with what artist in the lead single?,0
What solo album did Beyonce release in 2003?,0
" The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?",0
"""The Closer I get to You"" was recorded with which artist?",0
Which artist was associated with Beyoncé's premiere solo recording?,0
When did Beyoncé release her first solo album?,0
What is the lead single on Beyoncé's first album?,0
Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,0
How many awards did Beyoncé win at the 46th Grammy's Awards?,0
Destiny's Child's final album was named what?,0
Destiny's Child got a star on the Hollywood Walk of Fame in what year?,0
In what year did Beyonce embark on her Dangerously in Love tour of Europe?,0
What was the name of the final album of Destiny's Child?,0
It was announced that Destiny's Child would  disban in what European city?,0
When did Destiny's Child get their star on the Hollywood Walk of Fame?,0
What was the name of Beyoncé's European start that started in November 2003?,0
Who did Beyoncé tour with for the Verizon Lades First Tour?,0
"What major event did Beyoncé perform at on February 1, 2004?",0
What is the name of the final studio album from Destiny's Child?,0
How many albums did Beyonce sell in the first week when she released her second album?,0
The lead single from the album was which song?,0
"How many countries did her song ""Irreplaceable"" get number one status in?",0
How many singles did her second album produce?,0
What birthday did Beyonce's album B'Day celebrate?,0
"What artist did Beyonce duet with in the single, ""Deja Vu''?",0
How high did ''Deja Vu'' climb on the Billboard chart?,0
What is the name of Beyoncé's second album?,0
How many copies did B'Day sell during the first week of its release?,0
"Who collaborated with Beyoncé on the single, Deja Vu?",0
Which single from B'Day was only released in the U.K.?,0
What movie did Beyonce act in 2006?,0
Her second movie Beyonce did was what film?,0
"The single, ""Listen"" was featured in which movie?",0
Beyonce's first world tour was when?,0
How much money did Beyonce's tour make in 2007?,0
How many millions of dollars did ''The Pink Panther'' gross world-wide?,0
What did Beyonce call her first concert tour?,0
Who was Beyonce's duet with in ''Beautiful Liar''?,0
Which film did Beyoncé star with Steve Martin in?,0
Beyoncé's role in Dreamgirls was based on what pop singer?,0
What was the lead single for the Dreamgirls soundtrack?,0
What was the name of Beyoncé's first international tour?,0
What pop singer did a duet with Beyoncé on Beautiful Liar?,0
Beyonce got married in 2008 to whom?,0
"Her third album, ""I am...Sasha Fierce"" was released when?",0
"For which decade, did Beyonce have more top ten songs than any other woman?",0
Which singer beat out Beyonce for best video performance?,0
"In 2009, Beyonce started her second world tour and grossed how much money?",0
How did she reveal the marriage?,0
When did Beyonce begin her second world tour?,0
Who beat out Beyonce for Best Female Video ?,0
How much did the second world tour make in dollars?,0
When did Beyoncé get married?,0
Who did Beyoncé marry?,0
Who is Beyoncé's alter ego?,0
The video for what song won Beyoncé the 2009 MTV Video of the Year award?,0
Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,0
"Beyonce portrayed which character in the film, Cadillac Records?",0
Beyonce gave her entire salary from Cadillac Records to which organization?,0
Which song did Beyonce sing at the first couple's inaugural ball? ,0
"What genre of film was the movie, Obsessed, in which Beyonce starred in?",0
"A fight scene from the movie, Obsessed, won which award for Beyonce?",0
Where did Beyonce donate her salary from the movie Cadillac Records?,0
What thriller film did Beyonce star in?,0
What was the name of the woman she played in Obsessed?,0
How much more that the buget did the film gross?,0
Which singer did Beyoncé portray in Cadillac Records?,0
Which organization received Beyoncé's entire Cadillac Records salary?,0
"Where did Beyoncé perform on January 20, 2009?",0
Which thriller film did Beyoncé star in with Ali Larter?,0
How many awards was Beyonce nominated for at the 52nd Grammy Awards?,0
Beyonce tied with which artist for most nominations by a female artist?,0
"In 2010, Beyonce worked with which other famous singer?",0
"How many number one singles did Beyonce now have after the song ""Telephone""?",0
Beyonce tied who for most number one singles by a female?,0
Beyonce received how many nominations at the 52nd Annual Grammy Awards?,0
What song was the sixth first place song for Beyonce?,0
Who else appeared with Beyonce in Telephone?,0
Who did they tie with for six top songs?,0
Who did Beyonce tie with for the most nominations in a year?,0
How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,0
Who did Beyoncé tie with for the most Grammy nominations for female artists?,0
"Beyoncé was a featured artist on which singer's hit, Telephone?",0
Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,0
Beyonce would take a break from music in which year?,0
Which year did Beyonce and her father part business ways?,0
Which famous landmark did Beyonce see in China?,0
In what year did Beyonce have her hiatus?,0
Who inspired this hiatus?,0
When did she stop using her father as a manager?,0
How long did the hiatus last?,0
What did Beyoncé announce in January 2010?,0
Who suggested the hiatus for Beyoncé?,0
Who did Beyoncé part ways with during her hiatus?,0
How long did her hiatus last?,0
In which year was reports about Beyonce performing for Muammar Gaddafi surface?,0
Who did Beyonce donate the money to earned from her shows?,0
Beyonce became the first female artist to perform solo in 20 years at which stage?,0
Which organization did Beyonce's spokespeople confirm her donations to?,0
Beyonce was listed in 2011 as the highest paid performer per what?,0
Hoe did everyone learn that Beyonce performed for Kaddafi?,0
When did this leak happen?,0
Who did she tell about the donation?,0
Where did Beyonce perform in 2011?,0
Who did Beyoncé perform privately for in 2011?,0
Who released the information about Beyoncé's performance for the Libyan ruler?,0
Which organization did Beyoncé donate her pay for the private performance to?,0
Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,0
Beyonce's fourth album debuted in what year?,0
Which single had the most success from that album?,0
Beyonce won an award for which activity in 2011?,0
"in 2011, Beyonce performed for four nights where?",0
When was Beyonce's forth album released?,0
How many copies did the album sell in its first week?,0
Who awarded Beyonce and award for writing?,0
When did she perform at the Roseland ballroom?,0
What is the name of Beyoncé's fourth studio album?,0
When was 4 released?,0
How many copies of 4 sold in the first week?,0
What magazine did Beyoncé write a story for about her earlier hiatus?,0
Where did Beyoncé perform for four nights of standing room only concerts in 2011?,0
When did Beyonce have her first child?,0
Where did Beyonce give birth to her first child?,0
Beyonce's first child is named what?,0
Her first appearance performing since giving birth was where?,0
What was the child's name?,0
How long was it after the birth of her child before she performed again?,0
How many nights did she perform at Atlantic City?,0
When did Beyoncé give birth to a daughter?,0
What did Beyoncé name her daughter?,0
Where was Blue Ivy born?,0
Where was Beyoncé's first public performance after giving birth?,0
How many nights did Beyoncé play at the resort?,0
Destiny's Child released a compilation album about which topic?,0
Beyonce's documentary movie was called what?,0
What did Beyonce sign in 2013?,0
"When did Destiny's Child release its album ""Love Songs""?",0
What was the title of the added track in Love Songs?,0
At whose inauguration did she perform the National Anthem?,0
How many Tweets per minute did the half time show get?,0
When did Destiny's Child release Love Songs?,0
What was the new track for Love Songs?,0
What did Beyoncé sing at President Obama's second inauguration?,0
What event did Beyoncé perform at one month after Obama's inauguration? ,0
What is the name of Beyoncé's documentary film?,0
"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",0
One of Beyonce's most successful tours yet was which one?,0
"Beyonce wrote which song for the movie ""Epic""?",0
Beyonce voiced a character in which animated film?,0
When did the tour begin?,0
Of what event was Beyonce honorary chair?,0
What part did she voice for the movie Epic?,0
What song did Beyonce record for the film Epic?,0
What was the name of Beyoncé's tour that she started on April 15?,0
How many dates did the Mrs. Carter Show World Tour have?,0
Which Amy Winehouse song did Beyoncé cover and release in May 2014?,0
Beyoncé was an honorary chair of the 2013 what?,0
"Which character in the film, Epic, was voiced by Beyoncé?",0
Where did Beyonce release her 5th album to a huge surprise?,0
When did Beyonce get her fifth consecutive number one hit album?,0
Where was the album released? ,0
Who joined Beyonce on her On The Run Tour?,0
Who reported Beyonce to e the top earning woman in music?,0
How much more were her earnings that the year before?,0
When did Beyoncé release her fifth studio album?,0
How many digital copies of her fifth album did Beyoncé sell in six days?,0
What song on Beyoncé's fifth studio album featured her husband?,0
What was the name of the tour featuring both Beyoncé and Jay Z?,0
How many awards did Beyonce take home with her at the 57th Grammy Awards?,0
Which artist beat Beyonce out for Album of the year?,0
Which magazine did Beyonce pose on the cover for in August of 2015?,0
Beyonce would perform with who at Superbowl 50?,0
Beyonce took home how many awards at the 57th Grammy Awards?,0
Beyonce lost to which artist for Album of the year?,0
Who did Beyonce perform next to during Superbowl 50?,0
"If Beyonce won three Grammies in 2015, how many was she nominated for?",0
On what magazine was she the cover model?,0
Who would she perform with at Superbowl 50?,0
With what British band did Beyonce perform on their album?,0
How many awards was Beyoncé nominated for at the 57th annual Grammys?,0
How many awards did Beyoncé win at the 57th Annual Grammys?,0
Beyoncé lost the Album of the Year award to which entertainer?,0
"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",0
Who did Beyonce perform with at Super Bowl 50?,0
"Beyonce released the song ""Formation"" on which online music service?",0
Beyonce's new single released before the super bowl was called what?,0
"What day did Beyonce release her single, Formation?",0
How was the single released?,0
What was the name of the streaming service?,0
What kind of platform was the song released?,0
When did Beyoncé release Formation?,0
"Where did Beyoncé exclusively release her single, Formation?",0
"As of April 2014, how many albums have Jay Z and Beyonce sold together?",0
Where did Beyonce become pregnant?,0
"Beyonce described what as the ""hardest thing she had to endure""?",0
Who did Beyonce have a relationship with?,0
When were Beyonce and Jay Z married?,0
Together how records have they sold ?,0
How did Beyonce deal with the miscarriage of her child?,0
Where was Beyonce when she became pregnant?,0
"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?",0
When were Beyoncé and Jay Z married?,0
How many records combined have Beyoncé and Jay Z sold?,0
What did Beyoncé describe as the saddest thing in her life?,0
Where did Beyoncé get pregnant?,0
Jay Z and Beyonce attended which event together in August of 2011?,0
Beyonce confirmed what after performing one of her songs?,0
How many people watched the 2011 MTV Music Awards?,0
Where did she announce her pregnancy?,0
Why was the broadcast the most-watched in history?,0
What even was recorded in the Guinness World Records?,0
"What was the most searched term in week of Aug 29, 2011?",0
What song did she perform at the MTV Awards?,0
Where did Beyoncé announce her pregnancy?,0
What song did Beyoncé sing prior to announcing her pregnancy?,0
How many people watched the 2011 MTV Video Music Awards?,0
"What was the most searched term on Google for the week of August 29, 2011?",0
Jay Z has a website called what?,0
Which song by Jay Z talked about the pregnancy struggles?,0
What was the name of Beyonce's daughter?,0
At what hospital was the baby delivered?,0
What was the named of the song  dedicated to the child?,0
What does B.I.C. stand for?,0
Who was credited for her cries on the song?,0
When did Beyoncé give birth to her daughter?,0
What did Beyoncé and Jay Z name their daughter?,0
What song did Jay Z release two days after Blue Ivy was born?,0
What is included at the end of Glory?,0
How was Blue Ivy credited on Glory?,0
Beyonce and Jay-Z went to a rally for the acquittal of whom?,0
Beyonce sang which song during the 2009 presidential inauguration?,0
How much did Beyonce raise for Obama at the 40/40 Club?,0
"What did she endorse on March 26, 2013?",0
What did they attend in July 2013?,0
What did she sing at the 2009 Presidential Inauguration?,0
What song did Beyoncé perform at the 2009 inauguration of Obama?,0
What song did Beyoncé perform at the first inaugural dance for the Obamas.,0
What social media platform did Beyoncé upload a picture of her paper ballot on?,0
"When did Beyoncé endorse on March 26, 2013?",0
Beyonce did an interview with which magazine and was asked about feminism?,0
Beyonce supported which campaign that encourages leadership in girls?,0
Where was Beyonce quoted as saying that she is a modern-day feminist?,0
When did she say the she is a feminist?,0
What campaign did she contribute to?,0
What song did she release in 2013 in response to a speech?,0
What does Ban Bossy encourage?,0
"Beyoncé used words from which Nigerian author in her song, Flawless?",0
Which campaign does Beyoncé contribute to that encourages leadership in females?,0
Beyonce signed a letter with who in 2015?,0
An important UN summit took place when?,0
The letter Beyonce signed focused on what issue?,0
What had to be set in developing funding?,0
When did Beyonce sign a letter for ONE Campaign?,0
To whom was the letter addressed?,0
Who are these women?,0
When will they meet?,0
Who did Beyoncé sign a letter for in 2015?,0
Who was the letter addressed to?,0
What was Angela Merkel serving as in relation to the letter?,0
What did the letter want the two recipients to focus on?,0
Beyonce along with Jay Z met with whom's family after their death?,0
Beyonce with Jay Z gave lots of money to bail who out of prison?,0
Who's death caused this protest?,0
How much bail money did they spend?,0
Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,0
Beyonce and Jay Z got a Guinness World record for what in 2009?,0
Beyonce became the highest-paid black musician in which year?,0
"Up until May of 2015, how much is Beyonce's total worth?",0
"Between 2008 and 2009, which entertainers did Beyonce beat in earnings?",0
In 2012 who placed Beyonce at 16 in the Celebrity List?,0
When did she and Jay Z become the highest paid black celebrity couple?,0
How much did she earn in 2014?,0
What is Beyonce's net worth in 2015?,0
"Who began reporting Beyoncé's annual earnings, starting in 2008?",0
"When did Beyoncé become the highest paid black musician, ever?",0
Who predicted that Beyoncé would become the highest paid black entertainer?,0
When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,0
Beyonce's range in singing is how many octaves?,0
who talked about Beyonce's tone and timbre as distinctive?,0
"Which critic called Beyonce's voice ""versatile""?",0
Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,0
How many octaves does Beyonce have?,0
What did the Daily Mail say about Beyonce's voice?,0
What does Rosen claim influenced Beyonce's style?,0
What do other critics claim?,0
How many octaves does Beyoncé's voice span?,0
Why is Beyoncé known as the centerpiece of Destiny's Child?,0
New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,0
What does Jody Rosen say influenced Beyoncé's vocal style?,0
Music from Beyonce is generally categorized as what genre?,0
"Besides R&B, which genres does Beyonce dabble in?",0
"Beyonce mostly releases English songs, but what other language did she release songs?",0
Spanish songs Beyonce released were for what?,0
Beyonce was coached for her Spanish songs by which American?,0
What kind of music does Beyonce do?,0
What language does she mainly sing?,0
What other language has she sung?,0
What album did she re-release in Spanish?,0
What style of music does Beyoncé usually perform?,0
What language did Beyoncé release several songs in?,0
Who coached Beyoncé for her Spanish recordings?,0
What album did the Spanish songs come from?,0
Beyonce does not create which aspect of her music?,0
An example of a song aimed towards a male audience is what?,0
What theme was Beyonce's early music?,0
With Jay Z what were her new themes?,0
What does she get credits for in her music?,0
What part of production does she do?,0
Beyoncé's early recordings empowered who?,0
"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?",0
"Rather than beats, what two things does Beyoncé usually come up with for producers?",0
Pop Songwriter of the Year award in 2001 was awarded to whom?,0
Beyonce received the Pop Songwriter of the Year award at which event?,0
Beyonce has the same number of writing credits on number one singles as whom?,0
Beyonce joined 2 other women on what list from Billboard magazine in 2011?,0
When did Beyonce become the first African American woman to win Pop songwriter of the year?,0
What place is she tied for in songwriting credits?,0
Who listed her at number 17 in their list of  Top 20 hot 100 Songwriters?,0
Where does she place in writing credits  for three number one songs?,0
"What did Beyoncé win in 2001, making her the first black woman to do so?",0
Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,0
"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.",0
What number was Beyoncé on the Top 20 Hot 100 Songwriters list?,0
To whom did Beyonce credit as her major influence on her music?,0
How old was Beyonce when she went to her first Michael Jackson concert as a kid?,0
Beyonce gave a tribute award to who in 2006?,0
Beyonce cites Mariah Carey to making her want to start doing what?,0
Who influenced Beyonce?,0
What song by Mariah Carey influenced her?,0
Who is Beyoncé's biggest musical influence?,0
What was Beyoncé's first concert?,0
Who does Beyoncé feel is an all-around entertainer?,0
"Who does she credit for the inspiration to ""get up there and do what she did""?",0
What song caused Beyoncé to practice runs as a child?,0
What themes were influenced by her acting role in Dreamgirls?,0
"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",0
Who motivated Beyonce to explore other areas of music?,0
What movie influenced Beyonce towards empowerment themes? ,0
How did Etta James influence her?,0
Where did she perform wearing Baker's hula skirt?,0
What singer inspired Beyoncé's B'Day album?,0
What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,0
"Beyonce has noted which first lady with saying ""She proves you can do it all""?",0
Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,0
"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",0
Who personally influences Beyonce?,0
Hoe does she describe Oprah Winfrey?,0
How does she describe Jean- Michel Basquiat?,0
How does Madonna influence her?,0
How does she describe Jay Z?,0
"Who inspires Beyoncé because ""she does it all?""",0
Who does Beyoncé describe as the definition of inspiration?,0
Who does Beyoncé describe as lyrical and raw?,0
Who inspired Beyoncé to take control of her career?,0
Beyonce had an all-female tour band whose name was what?,0
Beyonce had singers in the background known by the name as?,0
The Mamas members included which 3 musicians?,0
The Mamas first appearance was when?,0
What band did Beyonce introduce in 2006?,0
What song name does the band Suga Mama  and a song on the B'Day album share?,0
Where did Suga Mama band make their first appearance?,0
What band supports Beyonce in her tours?,0
What is the name of Beyoncé's female tour band?,0
Suga Mama is also a song on which Beyoncé album?,0
What are Beyoncé's backup singers called?,0
When did The Mamas make their debut?,0
What characteristics has Beyonce received acclaim for?,0
Which former president of Def Jam called Beyonce the greatest entertainer alive?,0
For what does Beyonce receive praise?,0
Who chose her as number one on his list of Best singers/ Dancers?,0
How has L.A. Reid described her?,0
How does Alice Jones describe her?,0
Who has Beyoncé at number one on her Five Best Singer/Dancers?,0
Who has said that Beyoncé is the best entertainer alive?,0
Beyonce self proclaimed alter ego is named what?,0
Her alter ego was born when according to Beyonce?,0
What year did Beyonce do away with Sasha Fierce?,0
Beyonce brought back Sasha Fierce during which event?,0
How does she describe Sasha?,0
Later what did she say about Sasha?,0
What is the name of Beyoncé's alter ego?,0
When did Beyoncé introduce Sasha Fierce?,0
Sasha Fierce was created during the making of what song?,0
Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,0
Beyonce's sex appeal is characterized as what?,0
"Which music journalist described Beyonce as a ""crossover sex symbol?""",0
Which word spawned from a term used to describe Beyonce in 2006?,0
